date,quarter,channel,region_group,hub_themes,topics,summary,media_type
2025-07-01,Q3-2025,,Crimea/Sevastopol,,,Announces road closures in Crimea 25-27 July for Extreme Crimea festival.,text post
2025-07-01,Q3-2025,,Luhansk (LPR),Governance;Civilian Life;Coercion Resistance and Security,collaborator security;passportisation,Claims many DNR/LNR prisoners retain Ukrainian passports and defect to Ukraine; alleges prioritised release of Russian soldiers in exchanges.,video/audio transcript
2025-07-01,Q3-2025,,Donetsk (DPR),,,Claims destruction of Ukrainian 142nd brigade air defence with Geran drone near Rayske.,text post
2025-07-01,Q3-2025,,Crimea/Sevastopol,,,Reports vehicle struck teenager at pedestrian crossing in Sevastopol.,text post
2025-07-01,Q3-2025,,Crimea/Sevastopol,Civilian Life;Identity Culture and Religion;Education and Militarisation,,Reports three Sevastopol swimming pools close for maintenance; reopening scheduled for August 2025.,video/audio transcript
2025-07-01,Q3-2025,60 минут,Luhansk (LPR),Governance;Civilian Life;Front / SVO (non-Hub),,Reports Ukrainian drone attack killed 18-year-old and wounded seven; full LNR liberation announced.,video/audio transcript
2025-07-01,Q3-2025,ANTISEPTIC,Kherson,Governance,,Comments on architectural style of Kherson regional administration building.,text post
2025-07-01,Q3-2025,Colonelcassad,Donetsk (DPR),Civilian Life,,"Reports confirmed destruction of Ukrainian M113 armoured vehicle near Kotlyarovka, Donetsk.",text post
2025-07-01,Q3-2025,Colonelcassad,Kherson,Accountability and Legal;Front / SVO (non-Hub),,Chronicles detailed Russian military strikes 30 June-1 July across Kherson and other regions.,text post
2025-07-01,Q3-2025,Dambiev,Zaporizhzhia,,electricity and power,Reports image of power substation destroyed by Russian drone strike in Zaporizhzhia.,video/audio transcript
2025-07-01,Q3-2025,Donrf,Luhansk (LPR),Governance,,"Reports Ukrainian drone attack in Luhansk killed 18-year-old resident, seven others wounded.",text post
2025-07-01,Q3-2025,Donrf,Zaporizhzhia,,,Notes severe disability services problem in Melitopol; claims doctor shortages and bureaucratic obstacles.,text post
2025-07-01,Q3-2025,Inside 🅉 Donetsk,Donetsk (DPR),Front / SVO (non-Hub),,Defence Ministry publishes footage of Chervona Zirka capture in Donetsk region.,video/audio transcript
2025-07-01,Q3-2025,Lobaev Z,Crimea/Sevastopol,Economics;Education and Militarisation,,Reports Russian military sniper school training at 2200 metres range in Sevastopol area.,text post
2025-07-01,Q3-2025,Media Малькевич 🇷🇺,Luhansk (LPR),Civilian Life;Education and Militarisation;Front / SVO (non-Hub),,Fragment indicating media coverage of Donbass reconstruction; text truncated in source material.,text post
2025-07-01,Q3-2025,UKR LEAKS,Luhansk (LPR),Governance;Front / SVO (non-Hub),,Claims Luhansk territory completely liberated from Ukrainian forces; Kyiv denies.,text post
2025-07-01,Q3-2025,WarGonzo,Donetsk (DPR),,,Field report describes fishing nets protecting roads near Artemivsk as defence against sporadic opposition fire.,video/audio transcript
2025-07-01,Q3-2025,Zvezdanews,Donetsk (DPR),Governance,,Post claims found Ukrainian chemical weapons cache with chloropicrin charges for drone deployment in Donetsk.,text post
2025-07-01,Q3-2025,АГС_Донбасса,Luhansk (LPR),Front / SVO (non-Hub),,Military source disputes claims of complete territory liberation; identifies specific forested areas and border regions remaining.,text post
2025-07-01,Q3-2025,АГС_Донбасса,Luhansk (LPR);Zaporizhzhia,Governance;Economics;Civilian Life;Identity Culture and Religion;Education and Militarisation;Coercion Resistance and Security;Accountability and Legal;Front / SVO (non-Hub),evacuation;passportisation;reconstruction,"Reports news summary including protest activity, military incidents, legal proceedings and international developments.",text post
2025-07-01,Q3-2025,АРХАНГЕЛ СПЕЦНАЗА Z🇷🇺,,Governance;Economics;Civilian Life;Accountability and Legal,reconstruction,"Official reports economic indicators, real estate registration programme, and tax revenue growth in annexed regions.",video/audio transcript
2025-07-01,Q3-2025,АРХАНГЕЛ СПЕЦНАЗА Z🇷🇺,Zaporizhzhia,Governance;Economics;Civilian Life;Identity Culture and Religion;Education and Militarisation,heating;reconstruction;water,Reports socio-economic development programme for annexed territories through 2030.,video/audio transcript
2025-07-01,Q3-2025,АРХАНГЕЛ СПЕЦНАЗА Z🇷🇺,Luhansk (LPR),Economics;Civilian Life;Identity Culture and Religion;Education and Militarisation;Front / SVO (non-Hub),reconstruction,Reports Putin briefed on socio-economic development progress; calls reconstruction a peacetime victory.,video/audio transcript
2025-07-01,Q3-2025,БелВПО,Zaporizhzhia,Economics;Accountability and Legal,elections and referendum,Reports naval operations and maritime infrastructure developments in conflict.,text post
2025-07-01,Q3-2025,Время покажет,Donetsk (DPR),Identity Culture and Religion,,Shows Russian soldiers patrolling Artemivsk streets; includes casual interactions between military personnel describing their operations.,video/audio transcript
2025-07-01,Q3-2025,ГУП ДНР «ШАХТЁРСК ТВ»,Donetsk (DPR),Civilian Life,,Byline reference to Mariupol location without associated story content.,video/audio transcript
2025-07-01,Q3-2025,Денацификация UA,Donetsk (DPR),Identity Culture and Religion;Education and Militarisation,evacuation,Reports Cossack artillery volunteers conducted rescue operation evacuating 70 religious icons from church in Artemivsk under fire.,video/audio transcript
2025-07-01,Q3-2025,Денацификация UA,Luhansk (LPR),,,Announces Ukraine drone attacks on Luhansk and other regional military developments.,text post
2025-07-01,Q3-2025,Донбасс Сегодня,Donetsk (DPR),Civilian Life,electricity and power;heating;water,"DNR raises utility tariffs from 1 July across heating, gas, water, sewerage, waste collection and electricity.",text post
2025-07-01,Q3-2025,Донбасс решает,Donetsk (DPR),,,Russian State Circus head and animal trainer awarded DPR honorary titles.,video/audio transcript
2025-07-01,Q3-2025,Донбасс решает,Donetsk (DPR),Front / SVO (non-Hub),strikes on military targets,"Reports Russian forces destroyed Ukrainian temporary base location near Raiskyy, Donetsk.",text post
2025-07-01,Q3-2025,Донбасс решает,Zaporizhzhia,Front / SVO (non-Hub),strikes on military targets,Claims Russian drone operators destroyed mortar and fortified bunkers with personnel in Zaporizhzhia oblast.,video/audio transcript
2025-07-01,Q3-2025,ЖИВОВ Z 🇷🇺,Luhansk (LPR),Governance;Education and Militarisation;Front / SVO (non-Hub),fuel,Reports Russian air defense claims and territorial control statements; mentions Zelensky rejected ceasefire proposals; cites international developments.,text post
2025-07-01,Q3-2025,Кирилл Фёдоров / Война История Оружие,Donetsk (DPR),Coercion Resistance and Security,,Reports FSB showed video of alleged Ukrainian ammunition depot containing chloropicrin discovered in Donetsk.,text post
2025-07-01,Q3-2025,Крым 24 | Новости Крыма и Севастополя,Crimea/Sevastopol,,,Asks whether coverage is regional or Crimea-specific.,video/audio transcript
2025-07-01,Q3-2025,Крым 24 | Новости Крыма и Севастополя,Crimea/Sevastopol,,,Asks direction Crimea is moving.,video/audio transcript
2025-07-01,Q3-2025,Крым 24 | Новости Крыма и Севастополя,Crimea/Sevastopol,Governance,,Officials describe regular coordination with Islamic leaders in Crimea on political matters.,video/audio transcript
2025-07-01,Q3-2025,Крым 24 | Новости Крыма и Севастополя,Crimea/Sevastopol,Economics;Civilian Life,,Business official notes transport logistics from Crimea cheaper due to asymmetric goods flow patterns.,video/audio transcript
2025-07-01,Q3-2025,Крым 24 | Новости Крыма и Севастополя,Kherson;Luhansk (LPR);Zaporizhzhia,Civilian Life,,"Media discusses trade importance of annexed regions as both consumers and raw material sources, reducing logistics.",video/audio transcript
2025-07-01,Q3-2025,Крым 24 | Новости Крыма и Севастополя,Crimea/Sevastopol,,reconstruction,Questions official about mosque construction progress on satellite-1 in Sevastopol.,video/audio transcript
2025-07-01,Q3-2025,Крым 24 | Новости Крыма и Севастополя,Crimea/Sevastopol;Zaporizhzhia,,,Reports Crimea vine inspection programme covers 22000 hectares; 5500 in Sevastopol and 42 in Zaporizhzhia region.,video/audio transcript
2025-07-01,Q3-2025,Крым 24 | Новости Крыма и Севастополя,Crimea/Sevastopol,,,Budget comparison of regional spending levels across Sevastopol and southern cities.,video/audio transcript
2025-07-01,Q3-2025,МАРИУПОЛЬ 24,Luhansk (LPR),Governance;Civilian Life,elections and referendum;reconstruction,Reports restored cinema hosted premiere of film dedicated to 2022 referendums.,video/audio transcript
2025-07-01,Q3-2025,МАРИУПОЛЬ 24,Luhansk (LPR),Governance;Civilian Life,elections and referendum;reconstruction,Reports regional administration announcing industrial investment zones.,video/audio transcript
2025-07-01,Q3-2025,МАРИУПОЛЬ 24,Donetsk (DPR),,,Reports blood donation centre location and operating hours in Mariupol.,video/audio transcript
2025-07-01,Q3-2025,МАРИУПОЛЬ 24,Donetsk (DPR),,,Reports stadium introduction address to unnamed official regarding Mariupol sports facility.,video/audio transcript
2025-07-01,Q3-2025,МАРИУПОЛЬ 24,Donetsk (DPR),Economics;Civilian Life,,Mariupol 24 reports that youth sports projects aim to support young people and attract participation.,video/audio transcript
2025-07-01,Q3-2025,МАРИУПОЛЬ 24,Donetsk (DPR),,,"Begins presentation of Western Stadium, described as one of Mariupol's best sports facilities.",video/audio transcript
2025-07-01,Q3-2025,МАРИУПОЛЬ 24,Donetsk (DPR),,,"Headline credits for Angelika Novak, Yuri Baklushin, and Mariupol 24.",video/audio transcript
2025-07-01,Q3-2025,НОВОСТИ ЛНР,Luhansk (LPR),Governance;Civilian Life;Education and Militarisation,reconstruction,Reports Kirovsk residents encouraged to propose reconstruction initiatives for development project.,text post
2025-07-01,Q3-2025,НОВОСТИ ЛНР,Luhansk (LPR);Zaporizhzhia,Civilian Life;Identity Culture and Religion;Education and Militarisation,reconstruction,Reports stadium renovations and infrastructure projects in Mariupol area.,text post
2025-07-01,Q3-2025,Операция Z: Военкоры Русской Весны,Luhansk (LPR),Governance;Civilian Life,,Claims Ukrainian forces killed teenager and injured seven civilians in LNR through drone attacks.,text post
2025-07-01,Q3-2025,Охранитель,Crimea/Sevastopol,,,Fragment comparing Crimean leadership to other Russian regional administrators.,video/audio transcript
