Official ID,Name (Latin),Name (Cyrillic),Territory,Role / Position,Level,Location,Year Start,Year End,Still in Post?,Origin,Career Before,Career After,Links to Other Officials,Links to Russian State Bodies,Business / Economic Connections,Military Connections,Notes on Role
OFC-002,Pasechnik Leonid Ivanovich,Пасечник Леонид Иванович,LPR,Head of the LPR,Regional,Luhansk,2017,,Yes,Luhansk region,"SBU Colonel (prior to 2014), Acting Head of the LPR (2022-2023).",,"Evgeny Murylev, Alexander Potapov.",,"Alchevsk Metallurgical Plant, Stakhanov Railway Carriage Manufacturing Plant, Luhansk Refrigeration Plant",,Visited Luhansk Refrigeration Plant to inspect ice cream production. Discussed deepening economic cooperation with Uralvagonzavod (Уралвагонзавод). Met with the chairman of the regional branch of the Union of Journalists of Russia to discuss the development of regional media.
OFC-003,Skory Andrey Mikhailovich,Скорый Андрей Михайлович,LPR,Acting Head of the City Administration,City,Lysychansk,2022,2023,No,Luhansk region,,According to some sources was arrested in Russia in 2024. Potentially due to large-scale corruption.,,,,,"Discussed the water supply situation in Lysychansk, mentioned delivery of water and preparation for the heating season. Helped coordinate documents for Regina Grushikhina's enrollment in the Sevastopol cadet corps."
OFC-004,Murylev Evgeny,Мурылев Евгений,LPR,Chair of the regional branch of the Union of Journalists of Russia,Regional,Luhansk,2023,,Yes,"Horlivka, Donetsk Oblast","Since 2014, worked on the channel “Luhansk 24”.",,Leonid Pasechnik.,Union of Journalists of Russia.,,,Met with Leonid Pasechnik to discuss difficulties and tasks of the journalist community and plans for further joint work on the development of regional media.
OFC-005,Sankin Vladimir Vladimirovich,Санкин Владимир Владимирович,LPR,Member of the LPR People’s Council,Regional,Lysychansk,2018,,Yes,Luhansk region,,,,The 'United Russia' party.,,,"Delivered humanitarian aid to the rehabilitation centre for disabled children and to the education department of Lysychansk. Provided personal hygiene items, specialised equipment for children with cerebral palsy, and concert costumes."
OFC-006,Vorobyeva Violetta Veniaminovna,Воробьева Виолетта Вениаминовна,LPR,Head of the LPR Industrial Development Fund (ЛНР ФРП),Regional,Luhansk,2023,,Yes,"Nakhodka-Vrangel', Russia",Worked and studied across Ukrainian regions prior to 2014.,,,LPR Industrial Development Fund.,"Pipe Fittings Factory  «Маршал», «ЛЭМЗ», «НПК «ЛЭМЗ-ОГМК».",,Announced that three major enterprises signed targeted loan agreements with the Industrial Development Fund of LPR. Mentioned the 'Пищевик' program for food industry producers offering loans up to 100 million rubles.
OFC-008,Cherkasov Aleksandr,Черкасов Александр,LPR,Head of the Traffic Police Department of the Ministry of Internal Affairs of the LPR (УГИБДД МВД),Regional,Luhansk,2015 (at least),,Yes,Unknown,,,,Ministry of Internal Affairs of the LPR.,,,He was mentioned in connection with the opening of the Vehicle Registration Office (МРЭО) in Alchevsk. He noted that the facility would be able to serve around 100 people a day.
OFC-009,Glushko Konstantin,Глушко Константин,LPR,Acting Director of the Municipal Unitary Enterprise ‘Lysychansk Maintenance Association’ (Объединение эксплуатационного обслуживания).,City,Lysychansk,,,Yes,A local resident,"A chemical engineer by training, he worked in his profession, rising through the ranks in a construction company from labourer to senior site supervisor; he was also involved in business and served as chief engineer at a factory.",,,,,He mentions many friends in the military whom he helps.,"He heads a company responsible for the city’s public services and urban improvements. He received equipment from his superiors in Tatarstan. His work involves waste collection, clearing rubble, repairing roads and bridges, and restoring infrastructure."
OFC-010,Kusov Ivan Sergeyevich,Кусов Иван Сергеевич,LPR,Minister of Education and Science of the LPR,Regional,Luhansk,2022,,Yes,"Born in Semipalatinsk, Kazakhstan. Educated in Moscow.","Former Director of the Institute for Urban Development at Sevastopol State University (Federal State Autonomous Educational Institution of Higher Education). Since October 2019, Vice Rector for Strategic Communications.",,,,,,"Announced that approximately 14,000 students in grades 9 and 11 had their last bell ceremony in the Republic in 2023. Specified approximately 6,800 eleventh-graders and about 7,000 ninth-graders."
OFC-011,Kobtseva Olga Anatolyevna,Кобцева Ольга Анатольевна,LPR,"Member of the LPR People’s Council, member of the United Russia party",Regional,Severodonetsk,2014,,Yes,"Rubizhne, Ukraine",,,Elena Nikolaevna Kostenko.,Ministry of Infrastructure and Transport of the LPR,,,"Made a deputy request to organise bus transport between cities of the Severodonetsk agglomeration (Lysychansk, Severodonetsk, Kreminna, Rubizhne)."
OFC-012,Kostenko Elena Nikolaevna,Костенко Елена Николаевна,LPR,Deputy Chairman of the LPR Government,Regional,Severodonetsk,2018,,Yes,Luhansk region,Minister of Economic Development and Trade of the LPR (2015–2019).,,Olga Kobtseva.,The Government of the LPR.,,,Signed response to deputy inquiry regarding transport connections in the Severodonetsk agglomeration.
