"Official_ID","Name","Name_Cyrillic","Territory","Role","Level","Location","Year_Start","Year_End","Status","Origin"
"OFC-002","Leonid Pasechnik","Леонид Пасечник","LNR","Глава ЛНР","Regional","Luhansk","2023","","Yes","Luhansk region"
"OFC-003","Andrey Skory","Андрей Скорый","LNR","и.о. главы городской Администрации","City","Лисичанск","2022","2023","No","Luhansk region"
"OFC-004","Evgeny Murylev","Евгений Мурылев","LNR","председатель регионального отделения Союза журналистов России","Regional","Luhansk","2023","","Yes","Horlivka, Donetsk Oblast"
"OFC-005","Vladimir Sankin","Владимир Санкин","LNR","Депутат Народного Совета ЛНР","Regional","Лисичанск","2018","","Yes","Luhansk region"
"OFC-006","Violetta Vorobyeva","Виолетта Воробьева","LNR","руководитель регионального ФРП (Фонд развития промышленности ЛНР)","Regional","Luhansk","2023","","Yes","Nakhodka-Vrangel', Russia"
"OFC-007","Albert Apshev","Альберт Апшев","LNR","Глава Администрации города Алчевска","City","Алчевск","2025","","Yes","Born in Poltava, Ukraine"
"OFC-008","Aleksandr Cherkasov","Александр Черкасов","LNR","начальник УГИБДД МВД по ЛНР","Regional","Luhansk","2015 (at least)","","Yes","Unknown"
"OFC-009","Konstantin Glushko","Константин Глушко","LNR","и.о. директора МУП «Объединение эксплуатационного обслуживания г. Лисичанска»","City","Лисичанск","","","Yes","Местный житель"
"OFC-010","Ivan Kusov","Иван Кусов","LNR","министр образования и науки ЛНР","Regional","Luhansk","2022","","Yes","Born in Semipalatinsk, Kazakhstan. Educated in Moscow."
"OFC-011","Olga Kobtseva","Ольга Кобцева","LNR","депутат Народного Совета Республики, член партии «Единая Россия»","Regional","Severodonetsk","2014","","Yes","Rubizhne, Ukraine"
"OFC-012","Elena Nikolaevna Kostenko","Елена Николаевна Костенко","LNR","заместитель Председателя Правительства","Regional","Severodonetsk","2018","","Yes","Luhansk region"
"OFC-013","Alexander Krierenko","Александр Криеренко","LNR","Депутат, член профильного комитета по вопросам законодательной деятельности","Regional","Luhansk","2019","","Yes","Luhansk region"
"OFC-014","Tatiana Bogorodko","Татьяна Богородько","LNR","Генеральный директор ГУП «Луганскгаз»","Regional","Северодонецк, Лисичанск, Рубежное","2018 (at least)","","Yes","Luhansk region"
"OFC-015","Sergey Kozlov","Сергей Козлов","LNR","Председатель Правительства ЛНР","Regional","Луганск","2015","2024","No","Krasnodar, Russia"
"OFC-016","Sergey Khortiv","Сергей Хортив","LNR","и.о. администрации города Рубежное","City","Рубежное","2022","","Yes",""
"OFC-017","Denis Pushilin","Пушилин Д.В.","DPR","head of Donetsk occupation administration (after recognised by Russia)","Regional","Donetsk","2022","","Yes","Donetsk region"
"OFC-018","Mikhail Sanakoev","Михаил Санакоев","DPR","Acting Deputy Chairman of the Government of the so-called DNR","Regional","Donetsk","2024","2025","No","Ossetian origin, born in Khabarovsk"
"OFC-019","Yana Paschenko","Яна Валерьевна Пащенко","LNR","mayor of Luhansk","City","Luhansk","2026","","Yes","Luhansk region"
"OFC-020","Elena Kravchenko","Елена Кравченко","LNR","head of so-called Election Commission of LPR","Regional","Luhansk","2018 (at least)","","Yes","Luhansk region"
"OFC-021","Sergey Aksyonov","Серге́й Вале́рьевич Аксёнов","Crimea","head of Crimea","Regional","Crimea","2014","","Yes","Moldova"
