"Name","Type","Position","Territory","Jurisdiction","Date_Designated","DOB","Nationality","Reference_ID","Programme"
"Alexander Mihailovich NOSATOV","Individual","Admiral; Previously listed under 'Ukraine criteria' - Autonomous Sanctions (Designated Persons and Entities and Declared Persons – Ukraine) Amendment List 2014 [F2014L01184]; New listing start date 27 Aug 2023","Crimea","Australia (DFAT)","2023-08-27","1963-03-27","Russia, Ukraine","7662","Instrument of first designation: Autonomous Sanctions (Designated Persons and Entities and Declared Persons—Russia and Ukraine) Amendment (No. 10) Instrument 2023"
"Andrey Anatolyevich GIBA","Individual","Deputy Head of the Investigative Department of the Federal Security Service of the Russian Federation in Crimea and Sevastopol","Crimea","Australia (DFAT)","2025-02-24","1976-11-03","Russia, Ukraine","8059","Autonomous Sanctions (Designated Persons and Entities and Declared Persons – Russia and Ukraine) Amendment (No. 1) Instrument 2025"
"Azov Distillery Plant","Entity","Previously listed under 'Ukraine criteria' - Autonomous Sanctions (Designated Persons and Entities and Declared Persons – Ukraine) Amendment List 2014 [F2014L01184]; New listing start date 27 Aug 2023","Crimea","Australia (DFAT)","2023-08-27","","","7678","Instrument of first designation: Autonomous Sanctions (Designated Persons and Entities and Declared Persons—Russia and Ukraine) Amendment (No. 10) Instrument 2023"
"Crimean Railway Federal State Unitary Enterprise","Entity","Previously listed under Part 2 of Schedule 1 (Ukraine) to the Autonomous Sanctions (Designated Persons and Entities and Declared Persons – Russia and Ukraine) List 2014, through Autonomous Sanctions (Designated Persons and Entities and Declared Persons – Ukraine) Amendment (No. 1) Instrument 2021 [F2021L00366]
https://crimearw.ru 
Registration ID (OGRN no.): 1 159 102 022 738
Company number: 9102157783","Crimea","Australia (DFAT)","2024-03-29","","","7944","Autonomous Sanctions (Designated Persons and Entities and Declared Persons—Russia and Ukraine) Amendment (No. 3) Instrument 2024"
"Ekaterina Borisovna ALTABAEVA","Individual","Member of the Federation Council of the Russian Federation for the city of Sevastopol. 
Previously listed under 'Ukraine criteria' - Autonomous Sanctions (Designated Persons and Entities and Declared Persons – Ukraine) Amendment List 2020 [F2020L00083]; 
New listing start date 31 March 2023","Crimea","Australia (DFAT)","2023-03-31","1956-05-27","Russia","7526","Autonomous Sanctions (Designated Persons and Entities and Declared Persons—Russia and Ukraine) Amendment (No. 4) Instrument 2023"
"Ekaterina Eduardovna PYRKOVA","Individual","Secretary of the Sevastopol Electoral Commission.
Previously listed under 'Ukraine criteria' - Autonomous Sanctions (Designated Persons and Entities and Declared Persons – Ukraine) Amendment List 2020 [F2020L00083]; 
New listing start date 31 March 2023","Crimea","Australia (DFAT)","2023-03-31","1967-08-22","Russia","7531","Autonomous Sanctions (Designated Persons and Entities and Declared Persons—Russia and Ukraine) Amendment (No. 4) Instrument 2023"
"Factory of Sparkling Wine Novy Svet – State Enterprise","Entity","Previously listed under 'Ukraine criteria' - Autonomous Sanctions (Designated Persons and Entities and Declared Persons – Ukraine) Amendment List 2014 [F2014L01184]; New listing start date 27 Aug 2023","Crimea","Australia (DFAT)","2023-08-27","","","7679","Instrument of first designation: Autonomous Sanctions (Designated Persons and Entities and Declared Persons—Russia and Ukraine) Amendment (No. 10) Instrument 2023"
"Feodosiya Enterprise","Entity","Previously listed under 'Ukraine criteria' - Autonomous Sanctions (Designated Persons and Entities and Declared Persons – Ukraine) Amendment List 2014 [F2014L01184]; New listing start date 27 Aug 2023","Crimea","Australia (DFAT)","2023-08-27","","","7674","Instrument of first designation: Autonomous Sanctions (Designated Persons and Entities and Declared Persons—Russia and Ukraine) Amendment (No. 10) Instrument 2023"
"First Crimean Insurance Company","Entity","Previously listed under Part 2 of Schedule 1 (Ukraine) to the Autonomous Sanctions (Designated Persons and Entities and Declared Persons – Russia and Ukraine) List 2014, through Autonomous Sanctions (Designated Persons and Entities and Declared Persons – Ukraine) Amendment (No. 1) Instrument 2021 [F2021L00366]
http://kpsk-ins.ru 
Registration ID (OGRN no.): 1 149 102 007 933","Crimea","Australia (DFAT)","2024-03-29","","","7945","Autonomous Sanctions (Designated Persons and Entities and Declared Persons—Russia and Ukraine) Amendment (No. 3) Instrument 2024"
"Hanna Serhiivna TUROBOVA","Individual","Prosecutor in the Prosecutor’s Office in Crimea","Crimea","Australia (DFAT)","2025-02-24","1969-08-10","Russia","8060","Autonomous Sanctions (Designated Persons and Entities and Declared Persons – Russia and Ukraine) Amendment (No. 1) Instrument 2025"
"Igor Sergeievich SHEVCHENKO","Individual","Previously listed under 'Ukraine criteria' - Autonomous Sanctions (Designated Persons and Entities and Declared Persons – Ukraine) Amendment List 2014 [F2014L01184]; New listing start date 27 Aug 2023","Crimea","Australia (DFAT)","2023-08-27","1979-02-09","Russia, Ukraine","7645","Instrument of first designation: Autonomous Sanctions (Designated Persons and Entities and Declared Persons—Russia and Ukraine) Amendment (No. 10) Instrument 2023"
"Kerch Commercial Sea Port – State Enterprise","Entity","Previously listed under 'Ukraine criteria' - Autonomous Sanctions (Designated Persons and Entities and Declared Persons – Ukraine) Amendment List 2014 [F2014L01184]; New listing start date 27 Aug 2023","Crimea","Australia (DFAT)","2023-08-27","","","7676","Instrument of first designation: Autonomous Sanctions (Designated Persons and Entities and Declared Persons—Russia and Ukraine) Amendment (No. 10) Instrument 2023"
"Kerch Ferry – State Ferry Enterprise","Entity","Previously listed under 'Ukraine criteria' - Autonomous Sanctions (Designated Persons and Entities and Declared Persons – Ukraine) Amendment List 2014 [F2014L01184]; New listing start date 27 Aug 2023","Crimea","Australia (DFAT)","2023-08-27","","","7675","Instrument of first designation: Autonomous Sanctions (Designated Persons and Entities and Declared Persons—Russia and Ukraine) Amendment (No. 10) Instrument 2023"
"Lidia Aleksandrovna BASOVA","Individual","Former Deputy Chair of the Sevastopol Electoral Commission.
Previously listed under 'Ukraine criteria' - Autonomous Sanctions (Designated Persons and Entities and Declared Persons – Ukraine) Amendment List 2020 [F2020L00083]; 
New listing start date 31 March 2023","Crimea","Australia (DFAT)","2023-03-31","1970-01-01","Russia","7527","Autonomous Sanctions (Designated Persons and Entities and Declared Persons—Russia and Ukraine) Amendment (No. 4) Instrument 2023"
"Magarach of the National Institute of Wine – State Enterprise","Entity","Previously listed under 'Ukraine criteria' - Autonomous Sanctions (Designated Persons and Entities and Declared Persons – Ukraine) Amendment List 2014 [F2014L01184]; New listing start date 27 Aug 2023","Crimea","Australia (DFAT)","2023-08-27","","","7680","Instrument of first designation: Autonomous Sanctions (Designated Persons and Entities and Declared Persons—Russia and Ukraine) Amendment (No. 10) Instrument 2023"
"Mikhail Vladimirovich DEGTYAREV","Individual","Previously listed under 'Ukraine criteria' - Autonomous Sanctions (Designated Persons and Entities and Declared Persons – Ukraine) Amendment List 2014 [F2014L01184]; New listing start date 27 Aug 2023","Crimea","Australia (DFAT)","2023-08-27","1981-07-10","Russia, Ukraine","7656","Instrument of first designation: Autonomous Sanctions (Designated Persons and Entities and Declared Persons—Russia and Ukraine) Amendment (No. 10) Instrument 2023"
"Mikhail Vladimirovich RAZVOZHAEV","Individual","“Governor” of Sevastopol commencing 2 October 2020.
Previously listed under 'Ukraine criteria' - Autonomous Sanctions (Designated Persons and Entities and Declared Persons – Ukraine) Amendment List 2020 [F2020L00083]; 
New listing start date 31 March 2023","Crimea","Australia (DFAT)","2023-03-31","1980-12-30","Russia","7532","Autonomous Sanctions (Designated Persons and Entities and Declared Persons—Russia and Ukraine) Amendment (No. 4) Instrument 2023"
