issue_id,title_ru,title_translit,town_uk,raion_or_area,holding,issue_date,pages,source_url
719,Спортивное обозрение,Sportivnoe obozrenie,,Region-wide,Luganmedia,2024-08-22,20,https://luganmedia.ru/wp-content/uploads/2024/11/%D0%A1%D0%BF%D0%BE%D1%80%D1%82%D0%B8%D0%B2%D0%BD%D0%BE%D0%B5-%D0%BE%D0%B1%D0%BE%D0%B7%D1%80%D0%B5%D0%BD%D0%B8%D0%B5-%E2%84%9633-63.pdf
720,Спортивное обозрение,Sportivnoe obozrenie,,Region-wide,Luganmedia,2024-08-29,20,https://luganmedia.ru/wp-content/uploads/2024/11/%D0%A1%D0%BF%D0%BE%D1%80%D1%82%D0%B8%D0%B2%D0%BD%D0%BE%D0%B5-%D0%BE%D0%B1%D0%BE%D0%B7%D1%80%D0%B5%D0%BD%D0%B8%D0%B5-%E2%84%9634-64.pdf
721,Спортивное обозрение,Sportivnoe obozrenie,,Region-wide,Luganmedia,2024-09-05,20,https://luganmedia.ru/wp-content/uploads/2024/11/%D0%A1%D0%BF%D0%BE%D1%80%D1%82%D0%B8%D0%B2%D0%BD%D0%BE%D0%B5-%D0%BE%D0%B1%D0%BE%D0%B7%D1%80%D0%B5%D0%BD%D0%B8%D0%B5-%E2%84%9635-65.pdf
722,Спортивное обозрение,Sportivnoe obozrenie,,Region-wide,Luganmedia,2024-09-12,20,https://luganmedia.ru/wp-content/uploads/2024/11/%D0%A1%D0%BF%D0%BE%D1%80%D1%82%D0%B8%D0%B2%D0%BD%D0%BE%D0%B5-%D0%BE%D0%B1%D0%BE%D0%B7%D1%80%D0%B5%D0%BD%D0%B8%D0%B5-%E2%84%9636-66.pdf
723,Спортивное обозрение,Sportivnoe obozrenie,,Region-wide,Luganmedia,2024-09-19,20,https://luganmedia.ru/wp-content/uploads/2024/11/%D0%A1%D0%BF%D0%BE%D1%80%D1%82%D0%B8%D0%B2%D0%BD%D0%BE%D0%B5-%D0%BE%D0%B1%D0%BE%D0%B7%D1%80%D0%B5%D0%BD%D0%B8%D0%B5-%E2%84%963767.pdf
724,Спортивное обозрение,Sportivnoe obozrenie,,Region-wide,Luganmedia,2024-09-26,20,https://luganmedia.ru/wp-content/uploads/2024/11/%D0%A1%D0%BF%D0%BE%D1%80%D1%82%D0%B8%D0%B2%D0%BD%D0%BE%D0%B5-%D0%BE%D0%B1%D0%BE%D0%B7%D1%80%D0%B5%D0%BD%D0%B8%D0%B5-%E2%84%9638-68.pdf
725,Спортивное обозрение,Sportivnoe obozrenie,,Region-wide,Luganmedia,2024-10-03,20,https://luganmedia.ru/wp-content/uploads/2024/11/%D0%A1%D0%BF%D0%BE%D1%80%D1%82%D0%B8%D0%B2%D0%BD%D0%BE%D0%B5-%D0%BE%D0%B1%D0%BE%D0%B7%D1%80%D0%B5%D0%BD%D0%B8%D0%B5-%E2%84%9639-69.pdf
727,Спортивное обозрение,Sportivnoe obozrenie,,Region-wide,Luganmedia,2024-10-10,20,https://luganmedia.ru/wp-content/uploads/2024/11/%D0%A1%D0%BF%D0%BE%D1%80%D1%82%D0%B8%D0%B2%D0%BD%D0%BE%D0%B5-%D0%BE%D0%B1%D0%BE%D0%B7%D1%80%D0%B5%D0%BD%D0%B8%D0%B5-%E2%84%9640-70.pdf
728,Спортивное обозрение,Sportivnoe obozrenie,,Region-wide,Luganmedia,2024-10-17,20,https://luganmedia.ru/wp-content/uploads/2024/11/%D0%A1%D0%BF%D0%BE%D1%80%D1%82%D0%B8%D0%B2%D0%BD%D0%BE%D0%B5-%D0%BE%D0%B1%D0%BE%D0%B7%D1%80%D0%B5%D0%BD%D0%B8%D0%B5-%E2%84%964171.pdf
729,Спортивное обозрение,Sportivnoe obozrenie,,Region-wide,Luganmedia,2024-10-24,20,https://luganmedia.ru/wp-content/uploads/2024/11/%D0%A1%D0%BF%D0%BE%D1%80%D1%82%D0%B8%D0%B2%D0%BD%D0%BE%D0%B5-%D0%BE%D0%B1%D0%BE%D0%B7%D1%80%D0%B5%D0%BD%D0%B8%D0%B5-%E2%84%9642-72.pdf
