issue_id,title,town,issue_date,theme,hits,pages,hits_per_page
1,Восточный Донбасс,Dovzhansk,2024-01-10,recruitment_and_contract_service,1,23,0.043
1,Восточный Донбасс,Dovzhansk,2024-01-10,passportization_and_documents,35,23,1.522
1,Восточный Донбасс,Dovzhansk,2024-01-10,elections_and_administration,11,23,0.478
1,Восточный Донбасс,Dovzhansk,2024-01-10,reconstruction_and_integration,30,23,1.304
1,Восточный Донбасс,Dovzhansk,2024-01-10,ukraine_as_enemy,4,23,0.174
1,Восточный Донбасс,Dovzhansk,2024-01-10,children_and_militarization,8,23,0.348
1,Восточный Донбасс,Dovzhansk,2024-01-10,leadership_and_loyalty,134,23,5.826
2,Восточный Донбасс,Dovzhansk,2024-01-17,recruitment_and_contract_service,3,23,0.13
2,Восточный Донбасс,Dovzhansk,2024-01-17,passportization_and_documents,36,23,1.565
2,Восточный Донбасс,Dovzhansk,2024-01-17,elections_and_administration,7,23,0.304
2,Восточный Донбасс,Dovzhansk,2024-01-17,reconstruction_and_integration,25,23,1.087
2,Восточный Донбасс,Dovzhansk,2024-01-17,ukraine_as_enemy,3,23,0.13
2,Восточный Донбасс,Dovzhansk,2024-01-17,children_and_militarization,13,23,0.565
2,Восточный Донбасс,Dovzhansk,2024-01-17,leadership_and_loyalty,92,23,4.0
3,Восточный Донбасс,Dovzhansk,2024-09-01,recruitment_and_contract_service,5,23,0.217
3,Восточный Донбасс,Dovzhansk,2024-09-01,passportization_and_documents,40,23,1.739
3,Восточный Донбасс,Dovzhansk,2024-09-01,elections_and_administration,11,23,0.478
3,Восточный Донбасс,Dovzhansk,2024-09-01,reconstruction_and_integration,25,23,1.087
3,Восточный Донбасс,Dovzhansk,2024-09-01,ukraine_as_enemy,0,23,0.0
3,Восточный Донбасс,Dovzhansk,2024-09-01,children_and_militarization,12,23,0.522
3,Восточный Донбасс,Dovzhansk,2024-09-01,leadership_and_loyalty,109,23,4.739
4,Восточный Донбасс,Dovzhansk,2024-02-01,recruitment_and_contract_service,1,23,0.043
4,Восточный Донбасс,Dovzhansk,2024-02-01,passportization_and_documents,20,23,0.87
4,Восточный Донбасс,Dovzhansk,2024-02-01,elections_and_administration,1,23,0.043
4,Восточный Донбасс,Dovzhansk,2024-02-01,reconstruction_and_integration,41,23,1.783
4,Восточный Донбасс,Dovzhansk,2024-02-01,ukraine_as_enemy,0,23,0.0
4,Восточный Донбасс,Dovzhansk,2024-02-01,children_and_militarization,15,23,0.652
4,Восточный Донбасс,Dovzhansk,2024-02-01,leadership_and_loyalty,87,23,3.783
5,Восточный Донбасс,Dovzhansk,2024-02-07,recruitment_and_contract_service,7,19,0.368
5,Восточный Донбасс,Dovzhansk,2024-02-07,passportization_and_documents,27,19,1.421
5,Восточный Донбасс,Dovzhansk,2024-02-07,elections_and_administration,17,19,0.895
5,Восточный Донбасс,Dovzhansk,2024-02-07,reconstruction_and_integration,39,19,2.053
5,Восточный Донбасс,Dovzhansk,2024-02-07,ukraine_as_enemy,2,19,0.105
5,Восточный Донбасс,Dovzhansk,2024-02-07,children_and_militarization,13,19,0.684
5,Восточный Донбасс,Dovzhansk,2024-02-07,leadership_and_loyalty,88,19,4.632
6,Восточный Донбасс,Dovzhansk,2024-02-14,recruitment_and_contract_service,1,23,0.043
6,Восточный Донбасс,Dovzhansk,2024-02-14,passportization_and_documents,20,23,0.87
6,Восточный Донбасс,Dovzhansk,2024-02-14,elections_and_administration,72,23,3.13
6,Восточный Донбасс,Dovzhansk,2024-02-14,reconstruction_and_integration,51,23,2.217
6,Восточный Донбасс,Dovzhansk,2024-02-14,ukraine_as_enemy,0,23,0.0
6,Восточный Донбасс,Dovzhansk,2024-02-14,children_and_militarization,11,23,0.478
6,Восточный Донбасс,Dovzhansk,2024-02-14,leadership_and_loyalty,96,23,4.174
7,Восточный Донбасс,Dovzhansk,2024-02-21,recruitment_and_contract_service,4,23,0.174
7,Восточный Донбасс,Dovzhansk,2024-02-21,passportization_and_documents,12,23,0.522
7,Восточный Донбасс,Dovzhansk,2024-02-21,elections_and_administration,87,23,3.783
7,Восточный Донбасс,Dovzhansk,2024-02-21,reconstruction_and_integration,27,23,1.174
7,Восточный Донбасс,Dovzhansk,2024-02-21,ukraine_as_enemy,0,23,0.0
7,Восточный Донбасс,Dovzhansk,2024-02-21,children_and_militarization,17,23,0.739
7,Восточный Донбасс,Dovzhansk,2024-02-21,leadership_and_loyalty,116,23,5.043
8,Восточный Донбасс,Dovzhansk,2024-02-28,recruitment_and_contract_service,0,19,0.0
8,Восточный Донбасс,Dovzhansk,2024-02-28,passportization_and_documents,25,19,1.316
8,Восточный Донбасс,Dovzhansk,2024-02-28,elections_and_administration,103,19,5.421
8,Восточный Донбасс,Dovzhansk,2024-02-28,reconstruction_and_integration,19,19,1.0
8,Восточный Донбасс,Dovzhansk,2024-02-28,ukraine_as_enemy,0,19,0.0
8,Восточный Донбасс,Dovzhansk,2024-02-28,children_and_militarization,9,19,0.474
8,Восточный Донбасс,Dovzhansk,2024-02-28,leadership_and_loyalty,115,19,6.053
9,Восточный Донбасс,Dovzhansk,2024-03-06,recruitment_and_contract_service,6,23,0.261
9,Восточный Донбасс,Dovzhansk,2024-03-06,passportization_and_documents,115,23,5.0
9,Восточный Донбасс,Dovzhansk,2024-03-06,elections_and_administration,9,23,0.391
9,Восточный Донбасс,Dovzhansk,2024-03-06,reconstruction_and_integration,59,23,2.565
9,Восточный Донбасс,Dovzhansk,2024-03-06,ukraine_as_enemy,0,23,0.0
9,Восточный Донбасс,Dovzhansk,2024-03-06,children_and_militarization,4,23,0.174
9,Восточный Донбасс,Dovzhansk,2024-03-06,leadership_and_loyalty,187,23,8.13
10,Восточный Донбасс,Dovzhansk,2024-03-13,recruitment_and_contract_service,4,23,0.174
10,Восточный Донбасс,Dovzhansk,2024-03-13,passportization_and_documents,33,23,1.435
10,Восточный Донбасс,Dovzhansk,2024-03-13,elections_and_administration,28,23,1.217
10,Восточный Донбасс,Dovzhansk,2024-03-13,reconstruction_and_integration,28,23,1.217
10,Восточный Донбасс,Dovzhansk,2024-03-13,ukraine_as_enemy,0,23,0.0
10,Восточный Донбасс,Dovzhansk,2024-03-13,children_and_militarization,7,23,0.304
10,Восточный Донбасс,Dovzhansk,2024-03-13,leadership_and_loyalty,101,23,4.391
11,Восточный Донбасс,Dovzhansk,2024-03-20,recruitment_and_contract_service,0,23,0.0
11,Восточный Донбасс,Dovzhansk,2024-03-20,passportization_and_documents,8,23,0.348
11,Восточный Донбасс,Dovzhansk,2024-03-20,elections_and_administration,79,23,3.435
11,Восточный Донбасс,Dovzhansk,2024-03-20,reconstruction_and_integration,18,23,0.783
11,Восточный Донбасс,Dovzhansk,2024-03-20,ukraine_as_enemy,1,23,0.043
11,Восточный Донбасс,Dovzhansk,2024-03-20,children_and_militarization,9,23,0.391
11,Восточный Донбасс,Dovzhansk,2024-03-20,leadership_and_loyalty,130,23,5.652
12,Восточный Донбасс,Dovzhansk,2024-03-27,recruitment_and_contract_service,0,23,0.0
12,Восточный Донбасс,Dovzhansk,2024-03-27,passportization_and_documents,14,23,0.609
12,Восточный Донбасс,Dovzhansk,2024-03-27,elections_and_administration,6,23,0.261
12,Восточный Донбасс,Dovzhansk,2024-03-27,reconstruction_and_integration,26,23,1.13
12,Восточный Донбасс,Dovzhansk,2024-03-27,ukraine_as_enemy,8,23,0.348
12,Восточный Донбасс,Dovzhansk,2024-03-27,children_and_militarization,5,23,0.217
12,Восточный Донбасс,Dovzhansk,2024-03-27,leadership_and_loyalty,93,23,4.043
13,Восточный Донбасс,Dovzhansk,2024-04-03,recruitment_and_contract_service,6,23,0.261
13,Восточный Донбасс,Dovzhansk,2024-04-03,passportization_and_documents,33,23,1.435
13,Восточный Донбасс,Dovzhansk,2024-04-03,elections_and_administration,3,23,0.13
13,Восточный Донбасс,Dovzhansk,2024-04-03,reconstruction_and_integration,41,23,1.783
13,Восточный Донбасс,Dovzhansk,2024-04-03,ukraine_as_enemy,2,23,0.087
13,Восточный Донбасс,Dovzhansk,2024-04-03,children_and_militarization,10,23,0.435
13,Восточный Донбасс,Dovzhansk,2024-04-03,leadership_and_loyalty,95,23,4.13
14,Восточный Донбасс,Dovzhansk,2024-10-16,recruitment_and_contract_service,1,20,0.05
14,Восточный Донбасс,Dovzhansk,2024-10-16,passportization_and_documents,13,20,0.65
14,Восточный Донбасс,Dovzhansk,2024-10-16,elections_and_administration,5,20,0.25
14,Восточный Донбасс,Dovzhansk,2024-10-16,reconstruction_and_integration,36,20,1.8
14,Восточный Донбасс,Dovzhansk,2024-10-16,ukraine_as_enemy,0,20,0.0
14,Восточный Донбасс,Dovzhansk,2024-10-16,children_and_militarization,15,20,0.75
14,Восточный Донбасс,Dovzhansk,2024-10-16,leadership_and_loyalty,68,20,3.4
15,Восточный Донбасс,Dovzhansk,2024-09-23,recruitment_and_contract_service,0,6,0.0
15,Восточный Донбасс,Dovzhansk,2024-09-23,passportization_and_documents,4,6,0.667
15,Восточный Донбасс,Dovzhansk,2024-09-23,elections_and_administration,0,6,0.0
15,Восточный Донбасс,Dovzhansk,2024-09-23,reconstruction_and_integration,22,6,3.667
15,Восточный Донбасс,Dovzhansk,2024-09-23,ukraine_as_enemy,0,6,0.0
15,Восточный Донбасс,Dovzhansk,2024-09-23,children_and_militarization,0,6,0.0
15,Восточный Донбасс,Dovzhansk,2024-09-23,leadership_and_loyalty,21,6,3.5
16,Антрацитовский вестник,Antratsyt,2025-01-15,recruitment_and_contract_service,3,23,0.13
16,Антрацитовский вестник,Antratsyt,2025-01-15,passportization_and_documents,17,23,0.739
16,Антрацитовский вестник,Antratsyt,2025-01-15,elections_and_administration,3,23,0.13
