ID,"Organisation, programme, camp or structure",Category,Type,Federal affiliation / subordination,Territory,Territory tags,Locality,Address,Founded / first recorded in the territory,Legal registration status,Source of funding,Activity,Estimated participants (with source),Evidence sources,Confidence,Confidence note,Notes / cross-tags
1,"Orlyata Rossii (""Eaglets of Russia"") / Орлята России",Curriculum programme,State youth programme (primary school),"Russian Ministry of Education; part of the federal ""Patriotic Education of Citizens of the Russian Federation"" programme and of the Movement of the First",Crimea,Crimea; Sevastopol,Simferopol; Sevastopol (regional coordinators),Not applicable (network of base universities),2021 (programme created); coordinators in Crimea and Sevastopol documented for 2022 to 2025,State programme of the Russian Ministry of Education,Russian federal budget (through base universities),Patriotic education of primary-school pupils; coordinators are Russians seconded to Crimea and Sevastopol,"3 million children (Russia-wide figure); 136,000 teachers",https://orlyatarussia.ru/; https://investigator.org.ua/ua/investigations/266966/,Confirmed,,"Type: curriculum programme. Base university for the DNR, Zaporizhzhia, LNR and Kherson region: Azov State Pedagogical University (Berdiansk)."
2,Varyag military-patriotic club / ВПК «Варяг»,"Club, cadet corps or camp inside the territory",Military-patriotic club,Branch of the regional NGO Union of Border Guards of Crimea / VOSVOD (water rescue society),Crimea,Crimea,Simferopol,"16 Fedka Street, Simferopol, 295017",December 2017 (created); February 2018 (began operating),"Autonomous non-profit organisation of the ""Republic of Crimea"": Varyag Maritime Training Centre",Not established (grant or community funding likely),"Maritime and diving training, military training camps, weapons handling (indirectly)",38 adolescents,https://war-sanctions.gur.gov.ua/kidnappers/companies/13672; https://ua.krymr.com/a/news-podozrenii-glave-krymskogo-kluba-varyag-/33378599.html,Confirmed,,Head O. H. Diachenko was served a notice of suspicion by the Security Service of Ukraine (April 2025).
3,Grifon military-patriotic club / ВПК «Грифон»,"Club, cadet corps or camp inside the territory",Military-patriotic club,Founded by veterans of the GRU (Russian military intelligence),Crimea,Crimea,Simferopol,"52 Turhenieva Street, Simferopol, 295017",March 2025 (opened),"Regional NGO: Tavrida Historical, Sports and Military-Patriotic Club Grifon",Not established,"Basic military training for children aged 7 to 17 on the doctrines of the GRU, KGB, NKVD and SMERSH",Not stated,https://understandingwar.org/research/russia-ukraine/russian-occupation-update-april-3-2025/; https://war-sanctions.gur.gov.ua/kidnappers/companies/13667,Confirmed,,ISW assessment: a mechanism for building a mobilisation reserve; breach of Article 51 of the Fourth Geneva Convention.
4,Krympatriotcentr (Crimea Patriot Centre) / Крымпатриотцентр,"Club, cadet corps or camp inside the territory",State centre for military-patriotic training,"Russian Ministry of Education and Ministry of Defence (regional level of the ""Republic of Crimea"")",Crimea,Crimea,Simferopol,"13/64 60 Rokiv Zhovtnia Street, Simferopol, 295044",15 June 2015 (registered),"State budgetary institution of supplementary education of the ""Republic of Crimea"": Krympatriotcentr",State budget; US sanctions (2023) for the militarisation of schoolchildren,"Ten-day military field camps ""Storm Crimea"" for ages 14 to 18: tactics, firearms and engineering training, driving vehicles, drones",120 children (April 2025 camp),https://www.radiosvoboda.org/a/news-sbu-kerivnyk-krympatriotcentr-vyrok/33421145.html; https://war-sanctions.gur.gov.ua/kidnappers/companies/8457; https://almenda.org/wp-content/uploads/2025/07/,Confirmed,,Director S. O. Havrylchuk was sentenced in absentia in Ukraine to 12 years (May 2025); the centre coordinates the Avangard network in Crimea.
5,Kordon Tarkhankut military-patriotic centre / «Кордон Тарханкут»,"Club, cadet corps or camp inside the territory",Military-patriotic centre,Not established (head holds the title Hero of Russia),Crimea,Crimea,"Krasna Poliana village, Chornomorske district","22 Komunistychna Street, Krasna Poliana, 296430",2017 (in practice); February 2022 (legal entity registered),Autonomous non-profit organisation: Kordon Tarkhankut Military-Patriotic Centre,Not established,"Basic military training from age 9: drill, hand-to-hand and knife fighting, shooting, tactical medicine, quad bikes",Not stated,https://war-sanctions.gur.gov.ua/kidnappers/companies/13682; https://investigator.org.ua/ua/investigations/265399/; https://bukvy.org/perevyhovannya-po-rosijsky-yak-diyut-molodizhni-organizacziyi-na-tot/,Confirmed,,"Head V. V. Nedobezhkin, Hero of Russia, veteran of both Chechen wars."
6,Syvash centre / Центр «Сиваш»,"Club, cadet corps or camp inside the territory",Centre for military-patriotic education,Not established; project funded by a Russian presidential grant,Crimea,Crimea,Dzhankoi (2016 to 2023); Kerch (from 2023),"Flat 103, 40 Budonnoho Street, Kerch, 298330",23 February 2016,Autonomous non-profit organisation: Syvash Centre for Military-Patriotic Education,"Russian presidential grant (2017, about 1 million roubles)","Army hand-to-hand combat, firearms, medical and parachute training, military topography from the first year of school",Not stated,https://war-sanctions.gur.gov.ua/kidnappers/companies/13669; https://investigator.org.ua/ua/investigations/265399/,Confirmed,,Co-founder O. S. Shyshkanu died in 2021; co-founder V. V. Kryvosheiev coordinates the Immortal Regiment in Dzhankoi.
7,Union of Cossack Youth of Crimea and Sevastopol / Союз казачьей молодежи Крыма и Севастополя,"Club, cadet corps or camp inside the territory",Cossack military-patriotic organisation,Crimean Cossack District of the Black Sea Cossack Host,Crimea,Crimea; Sevastopol,Simferopol (covers Crimea and Sevastopol),Not established,Not established (documented from the 2020s),Subdivision of the Crimean Cossack District,Not established,"Shooting, assembling and disassembling Kalashnikov rifles, grenade throwing, making trench candles and camouflage nets for the war",Not stated,https://vko-chkv.ru/category/news/souz_kaz_m_kr-i-sev/; https://www.krympatriotcentr.ru/kluby-i-organizatsii/kazaki; https://investigator.org.ua/ua/investigations/265399/,Likely,Dates need clarification,"Head O. V. Abaulin, a life-safety teacher and United Russia candidate (2021)."
8,"Yug Molodoy (""Young South"") movement / «Юг Молодой»",Youth movement or federal structure,Pro-Russian youth movement,Rosmolodyozh (Rosmolodyozh.Grants); Presidential Fund for Cultural Initiatives,Zaporizhzhia oblast,Zaporizhzhia oblast; Kherson oblast,Melitopol,"Office 216, 2/2 Kateryny Velykoi Street, Melitopol, 272312",July 2022,Autonomous non-profit organisation for the support and development of youth Yug Molodoy,"Russian federal budget (Rosmolodyozh grants, presidential fund)","Recruitment of young people in Zaporizhzhia and Kherson oblasts; cooperation with the Young Guard of United Russia, #MyRazom and Volunteers of Victory",Not stated,https://war-sanctions.gur.gov.ua/kidnappers/companies/13988; https://zmina.info/columns/ukrayinski-dity-yak-palyvo-dlya-rosijskoyi-propagandy/,Confirmed,,"Head of the occupation ""ministry of youth policy of Zaporizhzhia oblast"" A. Tytskyi is sanctioned by Ukraine, the EU, the UK, the US, Canada, Switzerland, Australia, Japan and New Zealand."
9,Union of Heirs of Traditions / Союз наследников традиций,"Club, cadet corps or camp inside the territory",Historical-patriotic search organisation,Not established,Crimea,Crimea,Chervonohvardiiske,"Office 1, 4 Vokzalna Street, Chervonohvardiiske, 297000",2009 (created); 2015 (registered in Russia),Crimean regional historical-patriotic search public organisation,Not established,Military-sports competitions and camps; children from age 8 taught hand-to-hand combat and weapons handling,Not stated,https://war-sanctions.gur.gov.ua/kidnappers/companies/13064; https://investigator.org.ua/ua/investigations/265399/,Confirmed,,"President V. V. Kozhevnikov, a United Russia ""deputy"", also runs a trading business."
10,Yevpatoriiskyi Desant (Yevpatoria Landing Force) / Евпаторийский десант,"Club, cadet corps or camp inside the territory",Centre for military-patriotic education,"Works with military unit 86863 (68th Naval Engineer Regiment, Russian Black Sea Fleet) and DOSAAF",Crimea,Crimea,Yevpatoria,"Flat 77, 11 Eskadronna Street, Yevpatoria, 297402",2017,Autonomous non-profit organisation: Yevpatoriiskyi Desant Centre for the Military-Patriotic Education of Children and Youth,Not established,"Firearms, drill and assault training, hand-to-hand combat, mountain training, a ""young sapper school"" on the premises of a military unit",Not stated; ages 7 to 17,https://suspilne.media/1087826-zivij-sit-ak-rosiani-militarizuut-ditej-na-bazi-vijskovoi-castini-v-okupovanij-evpatorii/; https://war-sanctions.gur.gov.ua/kidnappers/companies/13683,Confirmed,,Training takes place at an active Russian military unit; head K. S. Miroshnychenko.
