issue_id,title_ru,issue_date,issue_no,cumulative_no,pages,municipalities,source_url
11,Запорожская правда,2024-02-01,1,13,28,Berdiansk,https://za-media.ru/assets/files/zaporozhskaya-pravda/1_13-berdyanskij-go.pdf
12,Запорожская правда,2024-02-01,1,13,8,Veselivka,https://za-media.ru/assets/files/zaporozhskaya-pravda/1_13-energodar.pdf
13,Запорожская правда,2024-02-01,1,13,4,Polohy,https://za-media.ru/assets/files/zaporozhskaya-pravda/1_13-pologovskij-mo.pdf
14,Запорожская правда,2024-02-01,1,13,8,Enerhodar,https://za-media.ru/assets/files/zaporozhskaya-pravda/1_13-veselovskij-mo.pdf
15,Запорожская правда,2024-02-01,1,13,4,Melitopol; Pryazovske,https://za-media.ru/assets/files/zaporozhskaya-pravda/1_13_priazovskij-mo.pdf
40,Запорожская правда,2024-02-23,2,14,4,Enerhodar,https://za-media.ru/assets/files/zaporozhskaya-pravda/zp-energodar-2_14a.pdf
34,Запорожская правда,2024-03-01,2,14,20,Yakymivka; Kamianka-Dniprovska,https://za-media.ru/assets/files/zaporozhskaya-pravda/zp-akimovskij-kamensko-d-2_14a.pdf
42,Запорожская правда,2024-03-01,2,14,4,Chernihivka; Polohy,https://za-media.ru/assets/files/zaporozhskaya-pravda/zp-pologovskij-chernigovskij-2_14a.pdf
43,Запорожская правда,2024-03-01,2,14,4,Pryazovske; Tokmak,https://za-media.ru/assets/files/zaporozhskaya-pravda/zp-priazovskij-tokmakskij-2_14a.pdf
45,Запорожская правда,2024-03-01,2,14,8,Vasylivka,https://za-media.ru/assets/files/zaporozhskaya-pravda/zp-vasilevskij-2_14a.pdf
1,Запорожский вестник,2024-03-05,10,69,16,,https://za-media.ru/assets/files/zaporozhskij-vestnik/10-59.pdf
2,Запорожский вестник,2024-03-12,11,60,8,,https://za-media.ru/assets/files/zaporozhskij-vestnik/11A.pdf
3,Запорожский вестник,2024-03-19,12,61,8,,https://za-media.ru/assets/files/zaporozhskij-vestnik/12A.pdf
4,Запорожский вестник,2024-03-26,13,62,8,,https://za-media.ru/assets/files/zaporozhskij-vestnik/13A.pdf
35,Запорожская правда,2024-04-01,3,15,4,Yakymivka; Pryazovske,https://za-media.ru/assets/files/zaporozhskaya-pravda/zp-akimovskij_priazovskij-mo-3_15a.pdf
36,Запорожская правда,2024-04-01,3,15,8,Berdiansk,https://za-media.ru/assets/files/zaporozhskaya-pravda/zp-berdyansk-3_15a.pdf
39,Запорожская правда,2024-04-01,3,15,8,Prymorsk; Chernihivka,https://za-media.ru/assets/files/zaporozhskaya-pravda/zp-chernigovskij_primorskij-3_15a.pdf
41,Запорожская правда,2024-04-01,2,14,28,Melitopol; Yakymivka; Mykhailivka,https://za-media.ru/assets/files/zaporozhskaya-pravda/zp-melitopol-mihajlovskij-2_14a.pdf
5,Запорожский вестник,2024-04-02,14,63,8,,https://za-media.ru/assets/files/zaporozhskij-vestnik/14A.pdf
44,Запорожская правда,2024-04-05,4,16,4,Enerhodar; Prymorsk,https://za-media.ru/assets/files/zaporozhskaya-pravda/zp-primorskij_energodar_4_16a.pdf
6,Запорожский вестник,2024-04-09,15,64,8,,https://za-media.ru/assets/files/zaporozhskij-vestnik/15%D0%90.pdf
7,Запорожский вестник,2024-04-16,16,65,8,,https://za-media.ru/assets/files/zaporozhskij-vestnik/16%D0%90.pdf
