issue_id,title,town,issue_date,theme,hits,pages,hits_per_page
1,Запорожский вестник,Melitopol,2024-03-05,nuclear_plant_and_enerhodar,2,16,0.125
1,Запорожский вестник,Melitopol,2024-03-05,agriculture_and_harvest,1,16,0.062
1,Запорожский вестник,Melitopol,2024-03-05,recruitment_and_contract_service,4,16,0.25
1,Запорожский вестник,Melitopol,2024-03-05,passportization_and_documents,3,16,0.188
1,Запорожский вестник,Melitopol,2024-03-05,elections_and_administration,3,16,0.188
1,Запорожский вестник,Melitopol,2024-03-05,reconstruction_and_integration,18,16,1.125
1,Запорожский вестник,Melitopol,2024-03-05,ukraine_as_enemy,0,16,0.0
1,Запорожский вестник,Melitopol,2024-03-05,children_and_militarization,9,16,0.562
1,Запорожский вестник,Melitopol,2024-03-05,leadership_and_loyalty,85,16,5.312
1,Запорожский вестник,Melitopol,2024-03-05,official_legal_register,14,16,0.875
2,Запорожский вестник,Melitopol,2024-03-12,nuclear_plant_and_enerhodar,14,8,1.75
2,Запорожский вестник,Melitopol,2024-03-12,agriculture_and_harvest,10,8,1.25
2,Запорожский вестник,Melitopol,2024-03-12,recruitment_and_contract_service,5,8,0.625
2,Запорожский вестник,Melitopol,2024-03-12,passportization_and_documents,3,8,0.375
2,Запорожский вестник,Melitopol,2024-03-12,elections_and_administration,43,8,5.375
2,Запорожский вестник,Melitopol,2024-03-12,reconstruction_and_integration,8,8,1.0
2,Запорожский вестник,Melitopol,2024-03-12,ukraine_as_enemy,2,8,0.25
2,Запорожский вестник,Melitopol,2024-03-12,children_and_militarization,5,8,0.625
2,Запорожский вестник,Melitopol,2024-03-12,leadership_and_loyalty,107,8,13.375
2,Запорожский вестник,Melitopol,2024-03-12,official_legal_register,10,8,1.25
3,Запорожский вестник,Melitopol,2024-03-19,nuclear_plant_and_enerhodar,4,8,0.5
3,Запорожский вестник,Melitopol,2024-03-19,agriculture_and_harvest,4,8,0.5
3,Запорожский вестник,Melitopol,2024-03-19,recruitment_and_contract_service,5,8,0.625
3,Запорожский вестник,Melitopol,2024-03-19,passportization_and_documents,0,8,0.0
3,Запорожский вестник,Melitopol,2024-03-19,elections_and_administration,58,8,7.25
3,Запорожский вестник,Melitopol,2024-03-19,reconstruction_and_integration,6,8,0.75
3,Запорожский вестник,Melitopol,2024-03-19,ukraine_as_enemy,3,8,0.375
3,Запорожский вестник,Melitopol,2024-03-19,children_and_militarization,0,8,0.0
3,Запорожский вестник,Melitopol,2024-03-19,leadership_and_loyalty,99,8,12.375
3,Запорожский вестник,Melitopol,2024-03-19,official_legal_register,6,8,0.75
4,Запорожский вестник,Melitopol,2024-03-26,nuclear_plant_and_enerhodar,0,8,0.0
4,Запорожский вестник,Melitopol,2024-03-26,agriculture_and_harvest,6,8,0.75
4,Запорожский вестник,Melitopol,2024-03-26,recruitment_and_contract_service,1,8,0.125
4,Запорожский вестник,Melitopol,2024-03-26,passportization_and_documents,4,8,0.5
4,Запорожский вестник,Melitopol,2024-03-26,elections_and_administration,3,8,0.375
4,Запорожский вестник,Melitopol,2024-03-26,reconstruction_and_integration,5,8,0.625
4,Запорожский вестник,Melitopol,2024-03-26,ukraine_as_enemy,25,8,3.125
4,Запорожский вестник,Melitopol,2024-03-26,children_and_militarization,4,8,0.5
4,Запорожский вестник,Melitopol,2024-03-26,leadership_and_loyalty,59,8,7.375
4,Запорожский вестник,Melitopol,2024-03-26,official_legal_register,6,8,0.75
5,Запорожский вестник,Melitopol,2024-04-02,nuclear_plant_and_enerhodar,1,8,0.125
5,Запорожский вестник,Melitopol,2024-04-02,agriculture_and_harvest,0,8,0.0
5,Запорожский вестник,Melitopol,2024-04-02,recruitment_and_contract_service,0,8,0.0
5,Запорожский вестник,Melitopol,2024-04-02,passportization_and_documents,7,8,0.875
5,Запорожский вестник,Melitopol,2024-04-02,elections_and_administration,5,8,0.625
5,Запорожский вестник,Melitopol,2024-04-02,reconstruction_and_integration,32,8,4.0
5,Запорожский вестник,Melitopol,2024-04-02,ukraine_as_enemy,2,8,0.25
5,Запорожский вестник,Melitopol,2024-04-02,children_and_militarization,1,8,0.125
5,Запорожский вестник,Melitopol,2024-04-02,leadership_and_loyalty,49,8,6.125
